chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2024-05-04,97,Wine Into Whiskey,Tucker Wetmore,84,77,5
2024-05-04,98,Spin You Around (1/24),Morgan Wallen,89,24,13
2024-05-04,99,Soak City,310babii,82,53,19
2024-05-04,100,Selfish,Justin Timberlake,60,19,13
2024-05-11,1,Fortnight,Taylor Swift Featuring Post Malone,1,1,2
2024-05-11,2,Million Dollar Baby,Tommy Richman,0,2,1
2024-05-11,3,A Bar Song (Tipsy),Shaboozey,27,3,3
2024-05-11,4,Espresso,Sabrina Carpenter,22,4,3
2024-05-11,5,Beautiful Things,Benson Boone,15,2,15
2024-05-11,6,Lose Control,Teddy Swims,18,1,38
2024-05-11,7,Too Sweet,Hozier,16,1,6
2024-05-11,8,Like That,Future; Metro Boomin & Kendrick Lamar,17,1,6
2024-05-11,9,I Can Do It With A Broken Heart,Taylor Swift,3,3,2
2024-05-11,10,Down Bad,Taylor Swift,2,2,2
2024-05-11,11,Euphoria,Kendrick Lamar,0,11,1
2024-05-11,12,Saturn,SZA,29,6,10
2024-05-11,13,Who's Afraid Of Little Old Me?,Taylor Swift,9,9,2
2024-05-11,14,So Long; London,Taylor Swift,5,5,2
2024-05-11,15,Lovin On Me,Jack Harlow,28,1,25
2024-05-11,16,My Boy Only Breaks His Favorite Toys,Taylor Swift,6,6,2
2024-05-11,17,Push Ups,Drake,19,17,2
2024-05-11,18,But Daddy I Love Him,Taylor Swift,7,7,2
2024-05-11,19,We Can't Be Friends (Wait For Your Love),Ariana Grande,33,1,8
2024-05-11,20,Florida!!!,Taylor Swift Featuring Florence + The Machine,8,8,2
2024-05-11,21,The Tortured Poets Department,Taylor Swift,4,4,2
2024-05-11,22,Guilty As Sin?,Taylor Swift,10,10,2
2024-05-11,23,Stick Season,Noah Kahan,37,9,31
2024-05-11,24,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,40,1,36
2024-05-11,25,Texas Hold 'Em,Beyonce,31,1,12
2024-05-11,26,I Like The Way You Kiss Me,Artemas,38,12,6
2024-05-11,27,Greedy,Tate McRae,42,3,33
2024-05-11,28,Cruel Summer,Taylor Swift,41,1,52
2024-05-11,29,Feather,Sabrina Carpenter,50,21,22
2024-05-11,30,The Smallest Man Who Ever Lived,Taylor Swift,14,14,2
2024-05-11,31,Type Shit,Future; Metro Boomin; Travis Scott & Playboi Carti,43,2,6
2024-05-11,32,Get It Sexyy,Sexyy Red,49,20,7
2024-05-11,33,Agora Hills,Doja Cat,45,7,32
2024-05-11,34,Wanna Be,GloRilla & Megan Thee Stallion,48,11,4
2024-05-11,35,Fresh Out The Slammer,Taylor Swift,11,11,2
2024-05-11,36,loml,Taylor Swift,12,12,2
2024-05-11,37,The Alchemy,Taylor Swift,13,13,2
2024-05-11,38,Yeah Glo!,GloRilla,59,32,12
2024-05-11,39,End Of Beginning,Djo,56,11,11
2024-05-11,40,I Can Fix Him (No Really I Can),Taylor Swift,20,20,2
2024-05-11,41,Whatever She Wants,Bryson Tiller,54,19,11
2024-05-11,42,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,52,1,12
2024-05-11,43,Austin,Dasha,60,28,8
2024-05-11,44,Gata Only,FloyyMenor X Cris Mj,58,27,7
2024-05-11,45,Never Lose Me,Flo Milli,61,15,20
2024-05-11,46,Redrum,21 Savage,57,5,16
2024-05-11,47,So High School,Taylor Swift,24,24,2
2024-05-11,48,Good Luck; Babe!,Chappell Roan,62,44,4
2024-05-11,49,imgonnagetyouback,Taylor Swift,26,26,2
2024-05-11,50,Where It Ends,Bailey Zimmerman,65,32,18
2024-05-11,51,The Black Dog,Taylor Swift,25,25,2
2024-05-11,52,Clara Bow,Taylor Swift,21,21,2
2024-05-11,53,Act II: Date @ 8,4Batz Featuring Drake,63,7,17
2024-05-11,54,Made For Me,Muni Long,64,20,16
2024-05-11,55,Wildflowers And Wild Horses,Lainey Wilson,71,48,14
2024-05-11,56,The Prophecy,Taylor Swift,32,32,2
2024-05-11,57,Wild Ones,Jessie Murph & Jelly Roll,68,35,30
2024-05-11,58,Tell Ur Girlfriend,Lay Bankz,66,58,3
2024-05-11,59,thanK you aIMee,Taylor Swift,23,23,2
2024-05-11,60,FE!N,Travis Scott Featuring Playboi Carti,67,5,26
2024-05-11,61,Slow It Down,Benson Boone,69,40,6
